Titel,Autor,Herausgeber,Verlag,Jahr,ISBN 10,ISBN 13,InfoText,AutorText,Link-Verlagswebseite,Volltext
"Der Ingeborg-Bachmann-Preis: Börse, Show, Event","Moser, Doris",,Boehlau Verlag,2004,3205771885,9783205771883,,,,
Wettlesen um den Ingeborg-Bachmann-Preis,"Röhricht, Karin","Stefan Neuhaus
Renate Giacomuzzi
Doris Moser",Studien Verlag,2016,370655495X,9783706554954,"Neue Literatur auf der Bühne: Das Klagenfurter Wettlesen um den Ingeborg-Bachmann-Preis lenkt eine breite mediale Aufmerksamkeit auf Autoren, Jury und Texte. Umso überraschender ist, dass die Literaturwissenschaft das Korpus der Anthologie ""Die Besten. Klagenfurter Texte"" bisher noch nicht näher untersucht hat. Genau dies unternimmt der vorliegende Band für den Zeitraum von 1977 bis 2011.

Literaturbetriebliche und hermeneutische Fragestellungen werden miteinander verbunden und die sich etablierende ""Gegenwartsliteraturwissenschaft"" weitergeführt. Mithilfe der Methode der Inhaltsanalyse generiert die Autorin statistisches Material zu den über 378 Kurztexten und verbindet ihre Beobachtungen mit den Interpretationen einzelner Texte und Textgruppen. Ergebnis ist eine umfassende Analyse der Anthologie, die die Vorlieben und Tendenzen einer einflussreichen literaturvermittelnden Institution widerspiegelt.","Karin Röhricht, M.A., lebt und arbeitet in Stuttgart. 2002 bis 2008 Germanistikstudium am Karlsruher Institut für Technologie (KIT), Auslandssemester in Kanada. Deutschlehrerin in Paris von 2008 bis 2010, danach Promotion sowie Lehrtätigkeiten am KIT. Seit 2015 Redakteurin an einem Fraunhofer-Institut (IPA). Reihenherausgeber: Priv.-Doz. Dr. Renate Giacomuzzi, Institut für Germanistik, Universität Innsbruck. VAss. Mag. Dr. Doris Moser, Institut für Germanistik, Universität Klagenfurt. Prof. Dr. Stefan Neuhaus, Institut für Germanistik, Universität Koblenz-Landau.",http://www.studienverlag.at/page.cfm?vpath=buecher/buchdetail&titnr=5495,OpenAccess
