ID,Preise,Shortlist?,Schriftart
EdwinOrtmann1980,,,
IngridPuganigg1980,ein Stipendium,,
RenateRasp1980,,,
PeterRenz1980,,,
MartinRodaBecher1980,,,
PeterRoos1980,,,
PeterSchalmey1980,,,
JurekBecker1979,,,
FranzBöni1979,,,
JanChrist1979,,,
HelmutDegner1979,,,
ErnstJürgenDreyer1979,,,
GunterFalk1979,,,
MariaFelsenreich1979,,,
MarkusFenner1979,,,
MarianneGruber1979,,,
LukasHartmann1979,,,
GertHofmann1979,Bachmann,,
HeribertHopf1979,,,
KarlGüntherHufnagel1979,,,
KatrinevonHutten1979,,,
HannaJohansen1979,,,
DianaKempff1979,,,
PaulKersten1979,,,
KlausKonjetzky1979,,,
DieterKühn1979,,,
MartinLuksan1979,,,
DorotheaMacheiner1979,,,
ErnstNowak1979,,,
DorisRichter1979,,,
ErichWolfgangSkwara1979,,,
JosefWinkler1979,Sonderpreis der Klagenfurter Jury,,
GeraldZschorsch1979,,,
WalterMüller1979,Stipendium,,
KatjaBehrens1978,Stipendium,,
HermannBurger1978,,,
CatarinaCarsten1978,,,
JeannieEbner1978,,,
HelmutEisendle1978,,,
LudwigFels1978,,,
HerbertFleck1978,,,
ChristophGeiser1978,,,
HeidulfGerngross1978,,,
ChristineHaidegger1978,,,
HermannKinder1978,,,
UrsulaKrechel1978,,,
GertrudLeutenegger1978,Sonderpreis der Klagenfurter Jury,,
AngelikaMechtel1978,,,
EYMeyer1978,,,
EngelbertObernosterer1978,,,
HannsJosefOrtheil1978,,,
ErikaPedretti1978,,,
UlrichPlenzdorf1978,Bachmann,,
PeterRenz1978,,,
EvaSchindler1978,,,
JuttaSchutting1978,,,
HelgaSchütz1978,,,
HanneliesTaschau1978,,,
OPZier1978,,,
RolfSchneider1977,,,
HermannFriedl1977,,,
WalterKappacher1977,,,
GerhardMeier1977,,,
HeinzPototschnig1977,,,
GodehardSchramm1977,,,
PeterSchalmey1977,,,
DieterKühn1977,,,
JörgLaederach1977,,,
GertJonke1977,Bachmann,,
KarinStruck1977,,,
UweBolius1977,,,
MarieThérèseKerschbaumer1977,,,
HerbertEisenreich1977,,,
HansJFröhlich1977,Sonderpreis der Klagenfurter Jury,,
MariaElisabethStraub1977,,,
KlausStiller1977,,,
RenateSchostack1977,Stipendium,,
HorstBienek1977,,,
VintilaIvanceanu1977,,,
ElisabethPlessen1977,,,
JostPerfahl1977,,,
RetoHänny1977,,,
