text_id,city
0,Zürich
1,München
2,Berlin
3,Wien
4,Ottobrunn
5,Frankfurt/Main
6,Berlin
7,Hamburg
8,München
9,Tamsweg
10,Wien
11,Wien
12,Münster
13,Klagenfurt
14,Bottmingen
15,Düren
16,München
17,Nürnberg
18,Villach
19,Niederbipp
20,Salzburg
21,Weissenau
22,
23,Lend
24,Hameln
25,Groß Glienicke
26,Wien
27,München
28,Weingarten
29,Berlin
30,La Neuveville
31,Wiesbaden
32,Hermagor
33,Wabern
34,München
35,Uetikon am See
36,Frankfurt/Main
37,Konstanz
38,Salzburg
39,Wien
40,Bern
41,Neumarkt
42,Nürnberg
43,München
44,Wien
45,Puch bei Salzburg
46,Küttigen
47,Almendfeld
48,Salzburg
49,Pohlheim
50,Klagenfurt
51,Salzburg
52,Frankfurt/Main
53,Wien
54,Salzburg
55,Wien
56,Düren
57,München
58,Hamburg
59,Ammerland
60,Kilchberg
61,Lohr-Steinbach
62,München
63,München
64,Klagenfurt
65,Bern
66,Wien
67,München-Pullach
68,Wien
69,Graz
70,Murnau
71,München
72,Jesteburg
73,Zürich
74,Berlin
75,München
76,Bochum
77,Basel
78,Weingarten
79,München
80,Höchst
81,München
82,Berlin
83,Unterkulm
84,Karlsruhe
85,Hamburg
86,Frankfurt/Main
87,Konstanz
88,Berlin
89,Worpswede
90,Salzburg
91,Heidelberg
92,Erlangen
93,Bern
94,Klagenfurt
95,Villach
96,Eschenburg
97,Heppenheim
98,Paris
99,Berlin
100,Aliswil
101,Bad VIlbel
102,Klagenfurt
103,Bern
104,Klagenfurt
105,Genf
106,Berlin
107,Berlin
108,Tainach
109,Basel
110,Graz
111,Trenten
112,Berlin
113,Visp
114,Frankfurt/Main
115,Frankfurt/Main
116,München
117,Rothirst
118,Engelberg
119,Berlin
120,Niederwerrn
121,Tübingen
122,Wien
123,Esslingen
124,Hamburg
125,Basel
126,Wien
127,Rzeszow
128,München
129,Göttingen
130,Zürich
131,Frankfurt/Main
132,Berlin
133,Nürnberg
134,Innsbruck
135,Münster
136,Berlin
137,Wien
138,Wien
139,Mainz
140,Köln
141,Berlin
142,Wien
143,Stuttgart
144,Wiesbaden
145,Hermagor
146,Baden-Baden
147,Hohensolms
148,Wennigsen
149,Innsbruck
150,Zürich
151,Wien
152,München
153,Klagenfurt
154,London
155,Hamburg
156,Berlin
157,Uetikon am See
158,Hamburg
159,Gleisdorf
160,Wiesbaden
161,Stuttgart
162,Hamburg
163,Berlin
164,Bochum
165,Berlin
166,Stadum
167,Berlin
168,Frankfurt/Main
169,Stuttgart
170,München
171,London
172,Baltrum
173,München
174,Karlsruhe
175,Bern
176,Salzburg
177,Florenz
178,Zürich
179,Frankfurt/Main
180,Rankweil
181,Nürnberg
182,Bremen
183,Basel
184,Berlin
185,Bregenz
186,Osnabrück
187,Frankfurt/Main
188,Bern
189,München
190,Wustrow
191,St. Georgen
192,Berlin
193,Bern
194,Pforzheim
195,Zürich
196,Bregenz
197,Waidhofen
198,Neuried
199,La Neuveville
200,Bern
201,Heiden
202,Zürich
203,München
204,Düsseldorf
205,Luzern
206,Hohenems
207,Hamburg
208,Kassel
209,Berlin
210,Graz
211,Salzburg
212,Hamburg
213,Frankfurt/Main
214,Ermatingen
215,Kriens
216,Hamburg
217,München
218,Berlin
219,Berlin
220,Hamburg
221,Erftstadt
222,Linz
223,Bad Essen
224,Hildesheim
225,München
226,Inning
227,Alblingen
228,Bremen
229,Mainz
230,Leoben
231,Zürich
232,Graz
233,Simbach
234,Heinrichswil
235,Brunegg
236,Berlin
237,Wien
238,Wiebaden
239,Dreieichenhain/Frankfurt
240,München
241,Höchst/Vbg.
242,Klagenfurt
243,Venedig
244,Hamburg
245,München
246,Berlin
247,Basel
248,Wennigsen
249,Berlin
250,Wien
251,München
252,Hamburg
253,Linz
254,Bozen
255,Stuttgart
256,München
256,Nürnberg
257,Wedel bei Hamburg
258,Berlin
259,Hamburg
260,Berlin
261,München
262,Berlin
263,San Diego
263,Salzburg
264,Bachern
265,Potsdam
266,Bellin
267,Lünen
268,Wien
269,Berlin
270,Berlin
271,Strasbourg
272,Wien
273,Hamburg
274,Wien
275,Gießen
276,München
277,Kiel
278,Riehen
279,Salzburg
280,Berlin
281,Berlin
282,Berlin
283,Willisau
284,Wien
285,Hamburg
286,Hamburg
287,München
288,Wiefelstede
289,Köln
290,Leipzig
291,Innsbruck
292,St. Gallen
293,Schallaburg
294,Zürich
295,Wien
296,Hamburg
297,Herrsching
298,Frankfurt/Main
299,Wildau
300,Schmitten
301,Tielenhemme
302,Nürnberg
303,Zürich
304,Berlin
305,Lans
306,Berlin
307,Luzern
308,Wolfsberg
309,Dollart
310,Basel
311,Unterkulm
312,Wien
313,Frankfurt/Main
314,Berlin
315,Erfurt
316,Nürnberg
317,Frankfurt/Main
318,Berlin
319,Berlin
320,Graz
321,Bern
322,Hollenstedt
323,Frankfurt/Main
324,Bielefeld
325,BRD und Frankreich
326,Norwich
327,Salzburg
328,München
329,Los Angeles
330,Berlin
331,Halle
332,Wien
333,Hamburg
334,Basel
335,Berlin
336,Berlin
337,Cluj-Napoca
338,Boston
339,Zürich
340,Freiburg
341,Wien
342,Maria Enzersdorf
343,Oberursel
344,Berlin
345,Berlin
346,Berlin
347,München
348,St. Gallen
349,München
350,Berlin
351,Lauterach
352,Zollbrück
353,Berlin
354,Bregenz
355,Lippstadt
356,Berlin
357,Köln
358,Berlin
359,Berlin
360,Freiburg
361,Heidelberg
362,Oberhofen
363,Köln
364,Riehen
365,Basel
365,Irland
366,Zürich
367,Frankfurt/Main
368,Hamburg
369,Münster
370,Wien
371,Berlin
372,München
373,Wien
374,Aarau
375,Graz
376,Berlin
377,Niederalm
378,Innsbruck
379,Allmuthshausen
380,Paris
380,Berlin
381,Frankfurt/Main
382,Berlin
383,Berlin
384,Stuttgart
385,Schwerin
386,München
387,Hollenstedt
388,Luzern
389,Berlin
390,Salzburg
391,Berlin
392,Kronshagen
393,Berlin
394,Salzburg
395,Gilching
396,Wien
397,Berlin
398,Paris
399,Berlin
400,Frankfurt/Main
401,Kilchberg
402,Walding
403,Wuppertal
404,Wien
405,Tübingen
405,Frankfurt/Main
406,Osterholz-Scharmbeck
407,Berlin
408,Berlin
409,Frankfurt/Main
410,Wien
411,Berlin
412,Brütten
413,Aarau
414,Hamburg
415,Seillans (Frankreich)
416,Salzburg
416,Berlin
417,Garmisch-Partenkirchen
418,Wien
419,Genf
420,Wien
421,Berlin
422,"Lure (Franche-Comté,Frankreich)"
423,Wiefelstede
424,Liebaja (Lettland)
425,Eglharting bei München
426,Marburg
427,Wien
428,Wien
429,Zürich
430,Berlin
431,Maur bei Zürich
432,Graz
433,Adnet bei Salzburg
434,
435,Berlin
436,Berlin
437,Graz
438,München
439,München
440,Pöcking
441,Zürich
441,Glarus
442,Tomils
443,Frankfurt/Main
444,Wien
445,Berlin
446,Berlin
447,Hamburg
448,Wien
448,Berlin
449,Freiburg
450,Wien
451,Graz
452,Zürich
453,Meikirch
453,Bern
