country_id,country_name,iso_3166
0,Schweiz,CH
1,Deutschland,DE
2,Österreich,AT
3,Italien,IT
4,Polen,PL
5,Tschechien,CZ
6,Rumänien,RO
7,Iran,IR
8,Türkei,TR
9,Japan,JP
10,Luxemburg,LU
11,Russland,RU
12,Brasilien,BR
13,Großbritannien,UK
14,Israel,IL
15,Serbien,RS
16,Frankreich,FR
17,USA,US
18,Ukraine,UA
