,year,name,living_place,is_chairman,got_sick
136,1988,Helga Schubert,Berlin-Ost,,
137,1988,Herbert Zeman,Wien,,
138,1989,Karl Corino,Frankfurt/Main,,
139,1989,Peter Demetz,New Haven (USA),,
140,1989,Volker Hage,Hamburg,,
141,1989,Andreas Isenschmid,Zürich,,
142,1989,Hellmuth Karasek,Hamburg,,
143,1989,Werner Krause,Graz,,
144,1989,Werner Liersch,Berlin-Ost,,
145,1989,Gisela Lindemann,Hannover,,
146,1989,Peter von Matt,Dübendorf,,
147,1989,Helga Schubert,Berlin-Ost,,
148,1989,Heinz Schwarzinger,Paris,,
149,1990,Karl Corino,Bad Vilbel,,
150,1990,Peter Demetz,New Haven (USA),,
151,1990,Marlis Gerhardt,Stuttgart,,
152,1990,Volker Hage,Hamburg,,
153,1990,Andreas Isenschmid,Zürich,,
154,1990,Nils Jensen,Wien,,
155,1990,Hellmuth Karasek,Hamburg,"",
156,1990,Peter von Matt,Zürich,,
157,1990,Helga Schubert,Berlin-Ost,,
158,1990,Heinz Schwarzinger,Paris,,
159,1991,Roberto Cazzola,Turin,,
160,1991,Karl Corino,Frankfurt/Main,,
161,1991,Peter Demetz,New Haven (USA),,True
162,1991,Wolf Donner,Berlin,,True
163,1991,Marlis Gerhardt,Stuttgart,,
164,1991,Volker Hage,Hamburg,,
165,1991,Andreas Isenschmid,Zürich,,
166,1991,Hellmuth Karasek,Hamburg,,
167,1991,Sigrid Löffler,Wien,,
168,1991,Peter von Matt,Zürich,,
169,1991,Stefan Richter,Leipzig,,
170,1992,Klaus Amann,Klagenfurt,,
171,1992,Verena Auffermann,Frankfurt/Main,,
172,1992,Jurek Becker,Berlin,,
173,1992,Karl Corino,Frankfurt/Main,,
174,1992,Peter Demetz,New Haven (USA),,
175,1992,Konstanze Fliedl,Wien,,
176,1992,Volker Hage,Hamburg,,
177,1992,Klara Obermüller,Zürich,,
178,1992,Angela Praesent,Reinbek,,
179,1992,Wilfried Schoeller,Frankfurt/Main,,
180,1992,Gert Ueding,Tübingen/,,
181,1993,Klaus Amann,Klagenfurt,,
182,1993,Verena Auffermann,Frankfurt/Main,,
183,1993,Maxim Biller,Hamburg,,
184,1993,Iso Camartin,Zürich,,
185,1993,Peter Demetz,New Haven (USA),True,
186,1993,Konstanze Fliedl,Wien,,
187,1993,Werner Fuld,Steinebach,,
188,1993,Volker Hage,Hamburg,,
189,1993,Rudolf Walter Leonhardt,Hamburg,,
190,1993,Angela Praesent,Reinbek,,
191,1993,Wilfrted Schoeller,Frankfurt/Main,,
192,1994,Klaus Amann,Klagenfurt,,
193,1994,Verena Auffermann,Frankfurt/Main,,
194,1994,Hans Christoph Buch,Berlin,,
195,1994,Iso Camartin,Zürich,,
196,1994,Peter Demetz,New Haven (USA),True,
197,1994,Konstanze Fliedl,Wien,,
198,1994,Volker Hage,Hamburg,,
199,1994,Andreas Isenchmid,Zürich,,
