country_id,country_name
0,Schweiz
1,Deutschland
2,Österreich
3,Italien
4,Polen
5,Tschechien
6,Rumänien
7,Iran
8,Türkei
9,Japan
10,Luxemburg
11,Russland
12,Brasilien
13,Großbritannien
14,Israel
15,Serbien
16,Frankreich
17,USA
18,Ukraine
