author_id,goodreads_genre,total_publications,goodreads_followers,average_rating,ratings_count
327,,1,,4.0,1
328,,27,6,3.68,709
329,,20,1,3.41,37
330,,3,,0.0,0
331,Fiction,25,2,3.45,353
332,,25,2,3.7,231
333,,14,,4.0,17
334,,11,3,3.13,136
335,,0,,0.0,0
336,,0,,0.0,0
337,,16,1,4.02,110
338,,5,,3.0,4
339,,10,7,3.39,319
340,,21,1,3.3,10
341,,8,0,2.5,8
342,,3,,3.6,5
343,,18,1,3.44,39
344,,5,,2.5,2
345,,2,,3.0,1
346,Crime|Thriller,80,19,3.27,1288
347,,22,,3.89,563
348,,30,10,3.33,730
349,,8,,3.52,21
350,,16,4,3.78,310
351,,14,,3.58,12
352,Literature & Fiction,11,4,3.34,230
353,,13,1,3.65,48
354,Literature & Fiction|Poetry,63,32,3.72,1137
355,,5,,3.13,8
356,,29,2,3.55,265
357,,1,,0.0,0
358,Literature & Fiction,9,4,3.43,95
359,,7,,2.5,2
360,,1,,0.0,0
361,,24,2,3.26,112
362,,5,,4.83,6
363,,21,,3.0,10
364,,8,1,2.9,81
365,,5,,3.0,32
366,Literature & Fiction|Mystery & Thrillers,6,1,3.9,20
368,,40,,3.42,24
369,,3,0,0.0,0
370,,9,,3.55,62
371,,21,3,3.84,250
372,,39,8,3.67,215
373,Literature & Fiction,20,4,2.97,207
374,,2,,3.0,12
375,,1,1,5.0,1
376,,24,,3.47,19
377,Fiction|Nonfiction|History,19,11,3.62,225
378,,1,1,4.0,1
379,,18,,3.56,1121
380,,2,,0.0,0
381,Contemporary,15,1,3.2,89
383,,8,2,3.62,34
385,,3,,2.0,4
386,,3,,3.0,1
387,Literature & Fiction|Travel|Science Fiction,56,76,3.54,2480
388,,1,,0.0,0
389,,43,25,3.31,1512
390,,11,,3.37,75
391,,12,2,3.22,102
392,,15,2,3.71,162
393,,12,2,3.8,30
394,,11,3,3.31,35
395,,10,,3.0,26
396,,13,4,3.49,436
397,,4,,0.0,0
398,,6,2,3.13,31
399,,4,,3.0,1
400,,37,11,3.83,525
401,,3,,0.0,0
402,,5,,0.0,0
405,,4,,4.33,3
406,Fiction,81,306,3.56,8560
407,,2,0,0.0,0
408,,2,,3.0,3
409,,0,,0.0,0
410,,2,,4.29,7
412,,11,2,3.74,117
413,,8,,0.0,0
414,,10,1,3.33,12
415,,16,1,3.79,24
416,,29,11,3.14,362
417,,18,,3.1,78
418,,2,2,2.5,6
419,,17,61,3.83,3233
420,,4,1,3.71,7
421,,6,,2.0,2
422,,7,,3.53,15
423,,2,,3.0,1
425,,19,1,3.81,16
426,,7,1,2.89,27
427,Literature & Fiction|Women & Gender Studies,26,11,3.43,267
428,,11,3,3.63,134
429,,21,6,3.79,351
430,,11,3,3.96,233
431,Literature & Fiction,19,4,2.85,639
432,,4,,4.0,8
433,,13,0,3.54,480
434,,8,,3.12,51
435,,8,4,3.65,17
436,,2,,4.0,1
437,,2,,4.0,1
438,,1,,0.0,0
439,,6,,3.5,8
440,Contemporary|Crime|Ebooks,9,,3.0,9
441,Nonfiction,23,10,3.25,446
442,,18,4,3.15,203
443,,18,1,3.5,38
444,,14,,3.89,9
445,,6,,3.32,34
446,,29,5,3.58,368
447,,5,,2.67,9
448,,6,2,2.91,44
449,,1,,0.0,0
450,,22,,3.57,58
451,,18,2,3.28,79
452,Literature & Fiction|Short Stories|Biographies & Memoirs,11,43,4.01,2060
453,,15,1,3.92,151
454,Literature & Fiction|Professional & Technical,39,239,3.41,8725
455,Fiction,15,1,3.62,86
456,,6,,2.83,12
457,,1,,0.0,0
458,,23,19,3.72,690
459,,5,,3.07,14
460,,20,3,3.73,245
461,,12,2,3.64,140
462,,4,12,3.85,13
463,,7,,3.0,2
464,,6,,5.0,1
465,,22,1,4.06,100
466,,15,4,2.82,308
467,,40,3,3.5,145
469,,13,,3.6,25
470,,6,,3.5,6
472,,30,7,3.57,497
473,,12,1,3.21,34
474,,26,8,3.69,274
475,,2,1,0.0,0
476,,3,1,2.94,16
477,,8,1,4.1,125
478,Literature & Fiction,13,33,3.37,2243
479,,4,1,3.0,5
480,,701,8,3.66,75
481,,9,1,3.02,62
482,Philosophy,15,3,3.14,94
483,,15,,3.0,30
484,,7,,2.67,9
485,,2,,0.0,0
486,Literature & Fiction|Historical Fiction|Short Stories,23,363,3.87,11424
487,,0,0,0.0,0
488,,12,1,3.64,42
489,,8,3,3.4,30
490,,11,,3.63,24
491,,2,,2.0,1
492,,34,,3.43,7
493,Contemporary|Fiction,29,6,3.62,608
494,,4,,2.7,10
495,,8,1,3.88,34
496,,3,,2.33,3
497,,4,,3.0,1
498,,1,,4.5,2
499,,29,2,3.34,290
500,,5,,3.7,54
501,,10,,0.0,0
502,,7,2,3.69,61
503,,18,,3.93,14
504,,11,,3.67,21
505,Historical Fiction,23,6,3.57,243
506,,26,37,3.54,1191
507,,1,,0.0,0
508,,13,,2.75,4
509,,8,,3.48,29
510,,2,,1.67,3
511,,11,,3.53,15
512,,3,2,3.06,120
513,,11,,2.71,14
514,,6,,2.93,29
515,,25,7,3.62,555
516,,1,0,0.0,0
517,,12,0,3.76,144
518,Literature & Fiction|Poetry,31,27,3.18,549
519,,0,0,0.0,0
520,,7,2,3.7,89
521,,97,3,4.03,5926
522,,15,4,4.17,144
523,Literature & Fiction|Comics & Graphic Novels,6,,4.12,41
524,,2,,4.0,3
525,,4,,2.0,5
526,,2,,3.67,3
527,,12,5,3.73,121
528,,11,8,3.15,60
529,,3,6,2.71,7
530,,0,0,0.0,0
531,,4,13,3.65,626
532,,13,14,3.54,850
533,,5,,3.9,10
534,Fiction|Nonfiction|Philosophy,25,242,3.85,5784
535,Mystery & Thrillers,22,14,3.65,985
536,,5,2,2.75,4
537,,12,1,3.34,29
538,,3,0,3.75,4
539,,8,,2.92,50
540,,35,471,3.76,17507
541,,18,160,3.85,19276
542,,9,4,3.49,231
543,,0,,0.0,0
544,,3,,2.75,4
545,Ebooks,95,2,3.33,75
546,,22,,3.5,48
547,"Fiction, Essay",25,7,3.38,209
548,,42,0,3.24,134
549,,7,2,2.62,21
550,,0,,0.0,0
551,,5,4,3.67,3
552,,21,1,3.64,162
553,,1,,3.5,6
554,,21,1,3.74,69
555,,24,7,3.63,728
556,Humor and Comedy|Paranormal|Fiction,7,606,4.02,5427
557,,9,1,3.35,17
558,,18,1,3.57,214
559,,5,0,4.0,1
561,,6,,3.42,67
562,Nonfiction,40,,3.79,829
563,,6,,4.2,25
564,,9,2,3.73,313
565,,9,,3.06,16
566,,10,1,3.46,39
567,,6,,3.41,22
568,,14,14,3.8,761
569,,1,1,1.0,1
570,,2,,2.25,4
571,,11,,3.79,450
572,Contemporary,19,3,3.38,120
573,Literature & Fiction|Short Stories|Contemporary,12,41,3.72,1184
574,,7,,3.31,35
575,,5,,3.0,2
576,,6,,3.5,12
577,,1,2,3.61,83
578,,12,1,3.32,34
579,,10,1,3.4,75
580,,8,2,3.2,80
581,,3,1,3.87,52
582,,9,,3.41,17
583,,3,1,5.0,1
584,,23,5,3.55,145
585,,1,,1.0,1
586,Biography|Sports|Memoir,17,30,4.38,3398
587,,17,2,3.21,261
588,Poetry|Contemporary|Fiction,19,17,3.35,675
589,,6,,3.38,13
590,,18,1,3.18,51
591,,10,1,3.44,62
592,Contemporary,88,6,3.7,347
593,,1,,5.0,1
594,,10,1,3.07,97
595,,1,0,4.0,1
596,,9,8,3.42,484
597,,16,,3.62,78
598,Fiction,24,13,3.88,382
599,,2,,3.0,3
600,Contemporary,10,1,3.83,64
601,,4,10,3.78,369
602,Literature & Fiction|Historical Fiction,26,6,3.42,821
603,,5,1,2.75,4
604,,8,2,3.79,33
605,,7,1,3.33,15
606,Fiction,24,52,3.6,926
607,Literature & Fiction,15,147,3.71,6377
608,,2,,4.0,1
610,,3,,3.47,15
611,,8,0,3.0,9
612,,8,1,3.56,98
613,,20,1,3.4,50
614,,10,1,4.43,70
615,,1,,0.0,0
616,,6,1,3.49,134
617,,9,1,3.9,90
618,,10,3,3.53,124
619,,14,1,3.0,17
620,,7,5,4.46,50
621,,5,1,3.15,13
622,,4,2,3.62,53
623,,4,,3.6,5
624,,7,,3.0,2
625,,4,5,0.0,0
626,Poetry,7,2,3.65,75
627,,13,1,3.81,206
628,,14,3,3.79,136
629,,28,,3.7,54
630,Fiction,4,10,3.24,171
631,,4,,3.44,9
632,,8,5,3.61,238
633,,3,,1.5,2
634,,4,9,3.82,256
635,Fiction,6,2,3.24,182
636,,2,13,3.0,6
637,,23,5,4.07,747
638,,7,27,3.62,915
639,,10,,3.44,32
640,,4,,2.91,23
641,,11,4,3.39,291
642,Biographies & Memoirs|Poetry|Fiction,3,17,3.83,545
643,,12,,3.41,212
644,,5,1,3.44,168
646,,7,4,4.13,104
647,,9,0,3.07,55
648,,5,2,3.51,65
649,,6,1,3.0,8
650,,3,4,3.1,51
651,,7,5,3.42,114
652,,2,2,3.63,8
653,,7,4,3.54,104
654,,14,1,3.59,74
655,Literature & Fiction|Poetry,12,13,3.48,255
656,,6,5,3.17,260
657,,35,6,3.85,269
658,,4,1,3.28,68
659,,2,,0.0,0
660,,1,,3.67,3
661,,69,,3.39,464
662,,3,,4.2,5
663,Humor and Comedy|Contemporary,5,2,3.91,117
664,Fiction,5,2,3.4,83
665,,2,,3.4,63
666,,6,44,3.81,931
667,,3,,3.67,6
668,,4,10,3.42,403
669,,6,1,3.12,17
670,,9,1,3.52,29
671,,2,,3.83,18
672,,2,,3.13,105
673,,6,3,4.19,26
674,,5,124,4.06,5745
675,Literature & Fiction,7,1,3.33,39
676,,2,,0.0,0
677,,24,6,4.32,1885
678,,1,,4.0,1
679,,3,,3.0,7
680,,15,1,3.93,86
681,,3,8,3.81,64
682,,1,,0.0,0
684,Fiction,5,7,3.78,180
685,,5,2,3.25,4
686,,7,3,3.52,44
687,,1,,3.67,9
688,,3,4,3.23,95
689,,6,2,3.33,198
690,,2,,4.0,10
691,Poetry,9,1,3.26,31
692,,2,21,3.15,526
693,,7,4,3.17,185
694,,1,0,3.0,1
695,,6,,2.62,13
696,,7,4,3.54,213
697,,3,,3.5,2
698,,4,2,3.58,36
699,Poetry,26,6,3.83,144
700,,5,1,3.74,124
701,,1,,3.0,4
702,Fiction,9,13,4.47,771
703,,5,,3.63,149
704,,14,1,3.61,218
705,,4,1,3.67,24
706,,3,1,3.92,59
707,,1,,4.33,6
708,,15,16,3.43,72
709,,34,19,3.88,518
710,,0,0,0.0,0
711,,1,,3.69,49
712,,3,1,3.06,18
713,,6,24,4.07,331
714,,2,1,3.93,14
715,,3,,3.25,12
716,,1,5,3.47,163
717,,13,3,3.36,472
718,,13,2,3.47,45
719,,3,4,3.85,247
720,,2,,4.67,6
721,,3,,3.56,78
722,,3,3,3.67,6
723,,4,1,3.12,25
724,Literature & Fiction,22,118,3.25,5228
726,,7,1,4.2,10
727,,2,2,3.79,48
728,,6,,3.94,33
729,,2,,3.0,3
730,,6,6,3.7,90
731,,12,3,4.0,41
732,,10,26,3.66,1890
733,,7,1,3.78,37
734,,2,,2.63,8
735,,5,2,3.0,22
736,Fiction,13,3,3.85,46
737,,6,2,3.78,9
738,,2,2,3.62,39
739,,2,2,4.43,14
740,,4,4,3.71,212
741,Literature & Fiction,8,1,3.77,31
742,,3,,4.33,3
743,,2,,0.0,0
745,,9,6,3.78,65
746,,6,,3.0,4
747,,4,1,3.81,32
748,,4,,4.1,30
749,,1,,3.33,18
750,,6,,3.0,5
751,,0,,0.0,0
752,,1,,4.5,6
753,,1,,0.0,0
754,,3,3,3.0,3
755,,3,2,4.14,7
756,,8,1,3.05,56
757,,20,1,3.7,20
758,,3,,4.07,15
759,,6,1,3.25,120
760,,2,,4.0,3
762,,2,9,3.6,101
763,,3,,4.67,3
764,,3,2,3.2,15
765,,3,3,4.32,105
766,,7,,4.14,14
767,,3,3,3.61,82
