author_id,book_title,publisher,release_year,perlentaucher_url
465,Kotmörtel. Roman eines Schwadronörs,Suhrkamp Verlag,2020,https://www.perlentaucher.de/buch/thomas-kapielski/kotmoertel.html
465,"Je dickens, destojewski!. Ein Volumenroman",Suhrkamp Verlag,2014,https://www.perlentaucher.de/buch/thomas-kapielski/je-dickens-destojewski.html
465,Neue Sezessionistische Heizkörperverkleidungen,Suhrkamp Verlag,2012,https://www.perlentaucher.de/buch/thomas-kapielski/neue-sezessionistische-heizkoerperverkleidungen.html
465,Mischwald,Suhrkamp Verlag,2009,https://www.perlentaucher.de/buch/thomas-kapielski/mischwald.html
465,Ortskunde. Eine kleine Geosophie,Urs Engeler Editor,2009,https://www.perlentaucher.de/buch/thomas-kapielski/ortskunde.html
465,Weltgunst. Denkwürdigkeiten 2002 bis Sommer 2004,Merve Verlag,2004,https://www.perlentaucher.de/buch/thomas-kapielski/weltgunst.html
465,Abstehende Röhren. 2 CDs,Zweitausendeins Verlag,2002,https://www.perlentaucher.de/buch/thomas-kapielski/abstehende-roehren.html
466,Die Habenichtse. Roman,Suhrkamp Verlag,2006,https://www.perlentaucher.de/buch/katharina-hacker/die-habenichtse.html
466,Die Erdbeeren von Antons Mutter. Roman,S. Fischer Verlag,2010,https://www.perlentaucher.de/buch/katharina-hacker/die-erdbeeren-von-antons-mutter.html
466,Der Bademeister. Roman,Suhrkamp Verlag,2000,https://www.perlentaucher.de/buch/katharina-hacker/der-bademeister.html
466,Eine Art Liebe. Roman,Suhrkamp Verlag,2003,https://www.perlentaucher.de/buch/katharina-hacker/eine-art-liebe.html
466,Überlandleitung. Prosagedichte,Suhrkamp Verlag,2007,https://www.perlentaucher.de/buch/katharina-hacker/ueberlandleitung.html
466,Eine Dorfgeschichte,S. Fischer Verlag,2011,https://www.perlentaucher.de/buch/katharina-hacker/eine-dorfgeschichte.html
466,Skip. Roman,S. Fischer Verlag,2015,https://www.perlentaucher.de/buch/katharina-hacker/skip.html
466,Darf ich Dir das Sie anbieten?. Minutenessays,Berenberg Verlag,2019,https://www.perlentaucher.de/buch/katharina-hacker/darf-ich-dir-das-sie-anbieten.html
466,"Alix, Anton und die anderen. Roman",Suhrkamp Verlag,2009,https://www.perlentaucher.de/buch/katharina-hacker/alix-anton-und-die-anderen.html
467,Berührte Orte. Gedichte,Luchterhand Literaturverlag,2008,https://www.perlentaucher.de/buch/ulrike-draesner/beruehrte-orte.html
467,für die nacht geheuerte zellen. Gedichte,Luchterhand Literaturverlag,2001,https://www.perlentaucher.de/buch/ulrike-draesner/fuer-die-nacht-geheuerte-zellen.html
467,Mitgift. Roman,Luchterhand Literaturverlag,2002,https://www.perlentaucher.de/buch/ulrike-draesner/mitgift.html
467,Hot Dogs. Erzählungen,Luchterhand Literaturverlag,2004,https://www.perlentaucher.de/buch/ulrike-draesner/hot-dogs.html
467,kugelblitz. Gedichte,Luchterhand Literaturverlag,2005,https://www.perlentaucher.de/buch/ulrike-draesner/kugelblitz.html
467,Spiele. Roman,Luchterhand Literaturverlag,2005,https://www.perlentaucher.de/buch/ulrike-draesner/spiele.html
467,Zauber im Zoo. Vier Reden von Herkunft und Literatur,Wallstein Verlag,2007,https://www.perlentaucher.de/buch/ulrike-draesner/zauber-im-zoo.html
467,gedächtnisschleifen. Gedichte,Luchterhand Literaturverlag,2008,https://www.perlentaucher.de/buch/ulrike-draesner/gedaechtnisschleifen.html
