author_id,book_title,publisher,release_year,perlentaucher_url
20,"Die Amseln von Parsch. und andere Prosa",Müry Salzmann,2013,"https://www.perlentaucher.de/buch/walter-kappacher/die-amseln-von-parsch.html"
20,"Land der roten Steine. Roman",Carl Hanser Verlag,2012,"https://www.perlentaucher.de/buch/walter-kappacher/land-der-roten-steine.html"
20,"Rosina. Erzählung",Deuticke Verlag,2010,"https://www.perlentaucher.de/buch/walter-kappacher/rosina.html"
20,"Der Fliegenpalast. Roman",Residenz Verlag,2009,"https://www.perlentaucher.de/buch/walter-kappacher/der-fliegenpalast.html"
20,"Der lange Brief . Roman",Zsolnay Verlag,2007,"https://www.perlentaucher.de/buch/walter-kappacher/der-lange-brief.html"
20,"Selina oder Das andere Leben. Roman",Deuticke Verlag,2005,"https://www.perlentaucher.de/buch/walter-kappacher/selina-oder-das-andere-leben.html"
20,"Silberpfeile. Roman",Deuticke Verlag,2000,"https://www.perlentaucher.de/buch/walter-kappacher/silberpfeile.html"
22,"Ebereschenfeuer. Roman",Quartus Verlag,2018,"https://www.perlentaucher.de/buch/rolf-schneider/ebereschenfeuer.html"
22,"Schonzeiten. Ein Leben in Deutschland",be.bra Verlag,2013,"https://www.perlentaucher.de/buch/rolf-schneider/schonzeiten.html"
22,"Das Mittelalter",Rowohlt Berlin Verlag,2009,"https://www.perlentaucher.de/buch/rolf-schneider/das-mittelalter.html"
22,"Marienbrücke. Roman",Osburg Verlag,2009,"https://www.perlentaucher.de/buch/rolf-schneider/marienbruecke.html"
23,"Tote Saison. Roman",Residenz Verlag,2008,"https://www.perlentaucher.de/buch/o-p-zier/tote-saison.html"
23,"Schonzeit. Roman",Otto Müller Verlag,2007,"https://www.perlentaucher.de/buch/o-p-zier/schonzeit.html"
23,"Sturmfrei. Roman",Otto Müller Verlag,2001,"https://www.perlentaucher.de/buch/o-p-zier/sturmfrei.html"
25,"Die Kirschendiebin. Eine Erzählung",Aufbau Verlag,2017,"https://www.perlentaucher.de/buch/helga-schuetz/die-kirschendiebin.html"
25,"Sepia. Roman",Aufbau Verlag,2013,"https://www.perlentaucher.de/buch/helga-schuetz/sepia.html"
25,"Knietief im Paradies. Roman",Aufbau Verlag,2005,"https://www.perlentaucher.de/buch/helga-schuetz/knietief-im-paradies.html"
25,"Grenze zum gestrigen Tag. Roman",Aufbau Verlag,2000,"https://www.perlentaucher.de/buch/helga-schuetz/grenze-zum-gestrigen-tag.html"
28,"Der Ravensburger Kreis. Eine literarische Gesellschaft in Deutschland",Edition Isele,1999,"https://www.perlentaucher.de/buch/peter-renz/der-ravensburger-kreis.html"
29,"Ein Land, genannt die DDR. (Ab 12 Jahre)",S. Fischer Verlag,2005,"https://www.perlentaucher.de/buch/ruediger-dammann/ein-land-genannt-die-ddr.html"
31,"Der von den Löwen träumte. Roman",Luchterhand Literaturverlag,2019,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/der-von-den-loewen-traeumte.html"
31,"Wie ich Klavierspielen lernte",Insel Verlag,2019,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/wie-ich-klavierspielen-lernte.html"
31,"Der Typ ist da. Roman",Kiepenheuer und Witsch Verlag,2017,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/der-typ-ist-da.html"
31,"Paris, links der Seine",Insel Verlag,2017,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/paris-links-der-seine.html"
31,"Der Stift und das Papier. Roman einer Passion",Luchterhand Literaturverlag,2015,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/der-stift-und-das-papier.html"
31,"Rom, Villa Massimo. Roman einer Institution",Langen Müller Verlag,2015,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/rom-villa-massimo.html"
31,"Das Kind, das nicht fragte. Roman",Luchterhand Literaturverlag,2012,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/das-kind-das-nicht-fragte.html"
31,"Liebesnähe. Roman",Luchterhand Literaturverlag,2011,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/liebesnaehe.html"
31,"Die Moselreise. Roman eines Kindes",Luchterhand Literaturverlag,2010,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/die-moselreise.html"
31,"Rom. Eine Ekstase",Sanssouci Verlag,2009,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/rom.html"
31,"Die Erfindung des Lebens. Roman",Luchterhand Literaturverlag,2009,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/die-erfindung-des-lebens.html"
31,"Wie Romane entstehen",Hermann Luchterhand Verlag,2008,"https://www.perlentaucher.de/buch/hanns-josef-ortheil-klaus-siblewski/wie-romane-entstehen.html"
31,"Das Verlangen nach Liebe. Roman",Luchterhand Literaturverlag,2007,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/das-verlangen-nach-liebe.html"
